"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","createdMsia"
"@95ammar27 akak dh prnh guna umobile,celcom and nw maxis using the same number. Umobile pun okay. Ni tukar plan sbb kt rmh sewa takde line <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,"95ammar27","2016-06-15 10:32:29",FALSE,743027713934430208,743028396758732800,1026145670,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alyahanani",0,FALSE,FALSE,NA,NA,"2016-06-15 18:32:29"
"g tkr plan umobile tadi, pstu ada blcklist dgn celcom thn 2013 &amp;  ic aku ilang pun thn sama. aku 11thn da pkai maxis. xpenah pakai clcom :(",FALSE,0,NA,"2016-06-15 10:25:27",FALSE,NA,743026627269926912,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ireneanuar",0,FALSE,FALSE,NA,NA,"2016-06-15 18:25:27"
"@emonnnz aku ambk maxis plan 158..alih2 bill aku bln nie 428..cm siall kn hidden charge dia..",FALSE,0,"emonnnz","2016-06-15 10:05:15",FALSE,743021261131907072,743021545233080320,400920332,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bintat2bintang",0,FALSE,FALSE,NA,NA,"2016-06-15 18:05:15"
"@junniekahying Your month installment will be RM100-RM30 = RM70. You may choose Maxis One Plan 128, 158 or 188 for the plan selection. [2]",FALSE,0,"junniekahying","2016-06-15 09:48:27",FALSE,743008656958967808,743017317689237504,2230996296,"<a href=""http://www.maxislistens.com"" rel=""nofollow"">MaxisListens_app</a>","MaxisListens",0,FALSE,FALSE,NA,NA,"2016-06-15 17:48:27"
"RT @Maxis: Say yes to #MaxisONE plan &amp; the No.1 4G LTE network to enjoy a FREE 4G phone,VIP no. &amp; more! https://t.co/OBynubyuAL https://t.c<U+0085>",FALSE,0,NA,"2016-06-15 09:22:25",FALSE,NA,743010766392070144,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tannhuss",2,TRUE,FALSE,NA,NA,"2016-06-15 17:22:25"
"entitle free maxis employee plan internet 10gb n broadband. apa aku nak buat dengan data 10gb ni dengan broadband ni????",FALSE,1,NA,"2016-06-15 09:19:04",FALSE,NA,743009922485342208,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shra_dee",0,FALSE,FALSE,NA,NA,"2016-06-15 17:19:04"
"@lksim82 Hi, yes, you will be eligible for the Maxis Home Fibre 10Mbps under RM128/month if you are using Maxis One Plan 98 and above. [1]",FALSE,0,"lksim82","2016-06-15 08:48:03",FALSE,742996703234666496,743002117934178304,231566738,"<a href=""http://www.maxislistens.com"" rel=""nofollow"">MaxisListens_app</a>","MaxisListens",0,FALSE,FALSE,NA,NA,"2016-06-15 16:48:03"
"@MaxisListens Team, FUP for legacy 99 plan still at 10GB/m? Since most maxis postpaid adjusted data, will the legacy plans be adjusted too?",FALSE,1,"MaxisListens","2016-06-15 08:37:28",FALSE,NA,742999452319780864,141114041,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChengBinTham",0,FALSE,FALSE,NA,NA,"2016-06-15 16:37:28"
"@MaxisListens ,I just moved from iValue to Maxis 1 Plan &amp; do have Maxis Fiber. Am I eligible for the rebate?RM128. If yes, how do I proceed?",FALSE,0,"MaxisListens","2016-06-15 08:26:32",FALSE,NA,742996703234666496,141114041,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lksim82",0,FALSE,FALSE,NA,NA,"2016-06-15 16:26:32"
"@im_shafika hahahaha.. Aku dh xtahan dgn maxis.. Suka tolak duit aku...<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>.. Lagi satu, aku xfham mcm mna plan maxis tu<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,"im_shafika","2016-06-15 07:25:44",FALSE,742980955930042368,742981401667117056,2428482277,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kechik_ein",0,FALSE,FALSE,NA,NA,"2016-06-15 15:25:44"
